,2P%,FT%,TRB,AST,STL,PTS,Pos
3951,0.393,0.836,149,151,63,555,4.0
3952,0.499,0.836,394,184,90,1765,5.0
3953,0.483,0.691,301,685,119,1350,3.0
3954,0.486,0.813,319,411,92,1803,4.0
3955,0.345,0.909,19,21,7,30,3.0
3956,0.454,0.832,147,233,111,641,3.0
3957,0.48,0.749,257,122,52,769,2.0
3958,0.53,0.515,336,39,22,573,1.0
3959,0.462,0.763,350,360,210,1010,4.0
3960,0.423,0.875,19,9,5,29,2.0
3961,0.471,0.664,416,137,85,1016,5.0
3962,0.554,0.701,829,181,158,1578,1.0
3963,0.472,0.636,219,446,105,1055,3.0
3964,0.581,0.6,1530,191,68,800,2.0
3965,0.454,0.762,54,109,15,193,4.0
3966,0.516,0.715,296,116,49,684,2.0
3967,0.333,0.667,30,4,3,22,1.0
3968,0.576,0.766,96,53,24,221,5.0
3969,0.588,0.756,88,42,22,194,5.0
3970,0.442,0.833,118,20,6,110,1.0
3971,0.554,0.828,770,312,62,1380,2.0
3972,0.479,0.838,310,226,105,1218,4.0
3973,0.43,0.901,66,35,20,359,5.0
3974,0.49,0.733,934,109,40,1296,1.0
3975,0.471,0.769,42,14,1,102,2.0
3976,0.487,0.663,415,46,38,473,1.0
3977,0.416,0.791,204,250,57,495,3.0
3978,0.446,0.875,69,89,12,175,3.0
3979,0.402,0.725,135,161,45,320,3.0
3980,0.455,0.77,634,337,135,1336,5.0
3981,0.434,0.895,202,544,74,1057,3.0
3982,0.471,0.785,301,56,41,714,5.0
3983,0.421,0.736,391,129,62,671,2.0
3984,0.489,0.866,177,562,104,1137,3.0
3985,0.436,0.804,81,99,44,247,4.0
3986,0.549,0.364,256,33,21,104,2.0
3987,0.364,0.769,116,57,36,310,4.0
3988,0.486,0.748,188,278,59,729,4.0
3989,0.415,0.653,76,109,39,275,3.0
3990,0.511,0.788,417,116,29,1024,1.0
3991,0.404,0.615,28,83,12,127,3.0
3992,0.423,0.615,27,79,12,124,3.0
3993,0.492,0.778,191,276,103,1139,4.0
3994,0.516,0.807,449,120,51,794,2.0
3995,0.503,0.842,270,1126,244,1297,3.0
3996,0.458,0.687,265,491,118,787,3.0
3997,0.4,0.5,1,1,1,10,4.0
3998,0.444,0.756,47,91,26,246,3.0
3999,0.453,0.766,183,113,66,880,4.0
4000,0.4,0.5,0,1,1,12,4.0
4001,0.471,0.667,22,22,4,48,4.0
4002,0.458,0.772,247,560,118,1445,3.0
4003,0.471,0.817,381,102,52,394,1.0
4004,0.389,0.375,19,8,6,31,4.0
4005,0.394,0.375,18,7,6,29,4.0
4006,0.596,0.657,862,250,52,1420,2.0
4007,0.499,0.831,253,593,168,1240,3.0
4008,0.501,0.763,469,106,55,1195,2.0
4009,0.397,0.55,55,21,10,90,2.0
4010,0.506,0.8,37,27,21,155,4.0
4011,0.449,0.792,90,177,57,284,3.0
4012,0.456,0.693,246,92,24,530,5.0
4013,0.511,0.802,88,57,15,467,5.0
4014,0.489,0.797,512,71,37,601,2.0
4015,0.443,0.846,101,148,35,411,3.0
4016,0.471,0.631,265,250,66,662,1.0
4017,0.434,0.619,238,205,63,387,4.0
4018,0.465,0.859,223,547,125,1231,3.0
4019,0.527,0.805,257,281,66,1116,4.0
4020,0.447,0.871,21,34,14,69,3.0
4021,0.397,0.765,236,31,31,418,2.0
4022,0.386,0.686,94,22,20,211,4.0
4023,0.457,0.686,81,180,47,204,3.0
4024,0.375,0.6,7,13,4,21,3.0
4025,0.467,0.7,73,166,43,177,3.0
4026,0.492,0.835,295,158,52,1179,5.0
4027,0.459,0.73,206,219,76,1016,4.0
4028,0.605,0.754,704,108,62,901,2.0
4029,0.433,0.725,454,94,35,859,1.0
4030,0.506,0.752,607,196,60,952,1.0
4031,0.528,0.605,129,40,20,252,5.0
4032,0.501,0.871,282,647,233,1188,3.0
4033,0.486,0.803,405,235,148,1474,5.0
4034,0.491,0.649,247,50,13,214,2.0
4035,0.493,0.804,1258,173,72,1480,2.0
4036,0.44,0.8,15,8,2,33,5.0
4037,0.478,0.719,269,247,123,638,4.0
4038,0.372,0.803,240,61,32,254,1.0
4039,0.502,0.683,260,88,41,1146,5.0
4040,0.457,0.814,305,252,76,1075,5.0
4041,0.416,0.851,75,172,46,280,3.0
4042,0.433,0.714,9,20,6,45,3.0
4043,0.413,0.887,66,152,40,235,3.0
4044,0.519,0.759,337,27,25,578,2.0
4045,0.473,0.75,37,10,6,64,2.0
4046,0.465,0.935,225,344,84,1553,3.0
4047,0.532,0.688,67,5,3,64,1.0
4048,0.143,0.5,6,0,0,6,1.0
4049,0.48,0.856,240,526,100,1035,3.0
4050,0.464,0.814,132,53,23,428,5.0
4051,0.463,0.767,152,105,16,503,5.0
4052,0.522,0.848,214,260,69,947,4.0
4053,0.518,0.685,420,93,34,809,1.0
4054,0.44,0.776,226,449,96,927,3.0
4055,0.471,0.741,477,265,128,1574,4.0
4056,0.439,0.809,184,93,31,561,5.0
4057,0.444,0.786,57,79,14,183,4.0
4058,0.437,0.673,170,398,113,459,3.0
4059,0.508,0.861,149,330,66,1009,3.0
4060,0.495,0.705,161,122,40,411,4.0
4061,0.497,0.701,150,117,38,384,4.0
4062,0.446,0.725,198,31,31,227,5.0
4063,0.504,0.739,287,170,91,1021,4.0
4064,0.45,0.659,79,6,8,129,1.0
4065,0.434,0.651,512,91,57,806,2.0
4066,0.375,0.833,7,20,2,23,3.0
4067,0.321,0.706,37,29,8,51,4.0
4068,0.561,0.765,928,385,119,1944,2.0
4069,0.492,0.831,107,151,63,541,3.0
4070,0.385,0.673,43,68,35,206,4.0
4071,0.423,0.778,29,54,9,223,4.0
4072,0.5,1.0,11,2,1,14,4.0
4073,0.308,0.5,10,0,0,25,1.0
4074,0.467,0.732,63,136,30,276,3.0
4075,0.453,0.75,392,43,45,664,5.0
4076,0.446,0.789,102,157,22,580,4.0
4077,0.359,0.75,23,7,4,34,5.0
4078,0.505,0.625,68,72,16,161,4.0
4079,0.456,0.728,280,671,203,1069,3.0
4080,0.462,0.833,298,711,161,808,3.0
4081,0.442,0.632,193,18,14,126,1.0
4082,0.421,0.772,196,122,75,590,4.0
4083,0.467,0.593,455,96,86,601,2.0
4084,0.486,0.798,194,175,54,618,4.0
4085,0.451,0.779,556,127,32,717,1.0
4086,0.491,0.825,179,302,79,725,3.0
4087,0.553,0.728,405,196,80,1115,1.0
4088,0.42,0.875,81,34,10,227,5.0
4089,0.497,0.83,99,243,79,519,3.0
4090,0.491,0.724,232,51,20,391,5.0
4091,0.488,0.793,246,461,138,874,3.0
4092,0.431,0.689,391,64,32,465,1.0
4093,0.465,0.732,212,196,108,567,3.0
4094,0.504,0.703,324,41,37,476,1.0
4095,0.453,0.747,195,94,47,437,5.0
4096,0.486,0.784,222,110,30,575,2.0
4097,0.389,0.717,70,16,13,204,5.0
4098,0.391,0.8,3,6,2,29,4.0
4099,0.528,0.469,659,69,76,499,1.0
4100,0.49,0.687,167,58,24,370,5.0
4101,0.46,0.637,332,48,59,606,2.0
4102,0.491,0.678,155,62,34,449,5.0
4103,0.541,0.777,388,97,35,932,2.0
4104,0.547,0.624,303,35,32,453,1.0
4105,0.577,0.725,408,77,54,949,5.0
4106,0.449,0.837,345,101,43,892,2.0
4107,0.502,0.81,88,116,38,749,4.0
4108,0.56,0.889,42,107,33,126,3.0
4109,0.457,0.758,51,53,22,142,4.0
4110,0.48,0.808,852,276,92,1572,2.0
4111,0.503,0.805,166,373,80,855,3.0
4112,0.485,0.704,123,37,13,219,1.0
4113,0.43,0.714,50,150,18,156,3.0
4114,0.506,0.826,519,173,108,950,5.0
4115,0.667,0.762,7,16,6,44,3.0
4116,0.65,0.762,7,16,6,42,3.0
4117,0.603,0.684,17,55,11,102,3.0
4118,0.466,0.866,286,180,87,1227,4.0
4119,0.484,0.727,216,148,38,701,4.0
4120,0.571,0.795,726,312,53,1432,1.0
4121,0.448,0.796,56,83,22,269,4.0
4122,0.457,0.594,701,68,36,955,2.0
4123,0.458,0.796,136,339,80,655,3.0
4124,0.472,0.717,291,117,75,983,4.0
4125,0.522,0.863,163,291,44,543,3.0
4126,0.519,0.8,56,5,14,96,2.0
4127,0.505,0.689,729,232,128,1050,1.0
4128,0.515,0.56,162,508,49,618,3.0
4129,0.352,0.533,66,8,5,46,1.0
4130,0.467,0.839,309,278,95,976,4.0
4131,0.439,0.73,387,70,45,729,1.0
4132,0.489,0.864,148,308,78,1809,4.0
4133,0.525,0.707,223,60,85,757,5.0
4134,0.529,0.79,382,214,129,1382,5.0
4135,0.474,0.844,121,120,68,556,4.0
4136,0.54,0.717,403,254,104,949,4.0
4137,0.494,0.855,216,177,74,708,5.0
4138,0.509,0.795,322,265,68,1207,5.0
4139,0.536,0.797,312,107,78,1366,4.0
4140,0.509,0.748,744,151,72,1205,2.0
4141,0.524,0.702,433,117,45,852,1.0
4142,0.429,0.0,6,1,3,6,4.0
4143,0.504,0.719,980,151,74,1959,1.0
4144,0.482,0.779,191,132,59,839,5.0
4145,0.493,0.876,279,137,29,573,2.0
4146,0.527,0.726,169,224,63,710,3.0
4147,0.434,0.794,86,132,32,345,3.0
4148,0.474,0.714,83,21,3,125,2.0
4149,0.484,0.722,56,10,3,101,2.0
4150,0.504,0.802,159,113,61,453,5.0
4151,0.531,0.826,246,226,86,1093,5.0
4152,0.442,0.91,108,138,39,391,3.0
4153,0.546,0.725,320,40,44,648,2.0
4154,0.533,0.604,353,68,48,508,2.0
4155,0.539,0.674,120,14,15,214,1.0
4156,0.392,0.833,27,59,10,122,3.0
4157,0.46,0.772,340,268,98,1167,4.0
4158,0.464,0.843,472,116,37,992,2.0
4159,0.441,0.641,142,77,33,316,5.0
4160,0.32,0.667,3,9,3,20,5.0
4161,0.452,0.636,139,68,30,296,5.0
4162,0.511,0.733,190,164,86,650,4.0
4163,0.459,0.743,139,353,106,486,3.0
4164,0.375,0.645,67,206,43,194,3.0
4165,0.491,0.727,412,205,72,1339,5.0
4166,0.51,0.619,729,201,89,1017,2.0
4167,0.481,0.669,157,70,31,423,4.0
4168,0.55,0.739,711,116,88,1051,2.0
4169,0.457,0.625,34,116,23,235,3.0
4170,0.556,0.75,9,7,2,62,4.0
4171,0.391,0.806,118,24,6,93,2.0
4172,0.368,0.75,47,5,1,40,2.0
4173,0.446,0.644,781,306,134,1187,2.0
4174,0.477,0.613,127,24,18,248,2.0
4175,0.491,0.611,96,16,18,205,2.0
4176,0.489,0.744,263,699,116,1419,3.0
4177,0.428,0.756,123,334,80,1126,4.0
4178,0.482,0.769,425,360,177,1443,4.0
4179,0.529,0.727,137,34,12,156,1.0
4180,0.496,0.86,346,317,137,1643,4.0
4181,0.333,0.85,55,155,30,213,3.0
4182,0.543,0.71,454,61,47,605,2.0
4183,0.446,0.861,193,119,51,571,5.0
4184,0.466,0.745,68,66,13,240,5.0
4185,0.512,0.624,754,68,41,640,1.0
4186,0.49,0.865,342,548,131,1511,3.0
4187,0.49,0.715,392,191,80,801,5.0
4188,0.45,0.665,315,69,44,421,2.0
4189,0.447,0.766,212,67,55,439,5.0
4190,0.466,0.777,143,317,101,690,4.0
4191,0.471,0.5,4,2,1,22,4.0
4192,0.5,0.765,140,328,49,610,3.0
4193,0.415,0.852,39,35,19,131,4.0
4194,0.415,0.739,122,131,40,457,5.0
4195,0.506,0.803,388,724,136,1181,3.0
4196,0.474,0.846,11,1,3,67,2.0
4197,0.486,0.85,10,1,3,60,2.0
4198,0.333,0.833,1,0,0,7,2.0
4199,0.606,0.778,11,23,4,69,3.0
4200,0.51,0.791,146,561,85,656,3.0
4201,0.483,0.73,195,89,36,478,5.0
4202,0.4,0.678,48,13,8,157,4.0
4203,0.477,0.911,272,135,36,1177,5.0
4204,0.45,0.776,113,186,60,332,3.0
4205,0.504,0.819,104,384,85,791,3.0
4206,0.54,0.767,864,353,53,1810,2.0
4207,0.532,0.579,277,42,38,88,1.0
4208,0.514,0.837,522,428,221,2541,4.0
4209,0.501,0.7,432,80,57,542,2.0
4210,0.494,0.712,833,155,119,1388,2.0
4211,0.625,1.0,7,11,2,12,3.0
4212,0.477,0.909,38,59,8,122,4.0
4213,0.445,0.634,406,121,80,686,5.0
4214,0.468,0.766,91,14,4,155,2.0
4215,0.48,0.375,11,5,1,33,4.0
4216,0.524,0.684,76,18,11,223,5.0
4217,0.473,0.705,207,71,26,408,1.0
4218,0.458,0.542,193,10,13,89,1.0
4219,0.414,0.707,346,39,17,257,1.0
4220,0.4,0.779,64,145,23,315,3.0
4221,0.25,0.786,1,10,2,17,4.0
4222,0.467,0.48,427,140,75,275,1.0
4223,0.467,0.796,279,68,42,513,2.0
4224,0.489,0.835,708,223,105,1472,2.0
4225,0.516,0.894,419,127,46,687,1.0
4226,0.428,0.763,436,79,46,386,1.0
4227,0.472,0.803,59,46,24,289,4.0
4228,0.474,0.803,58,46,24,287,4.0
4229,0.419,0.84,89,169,40,328,3.0
4230,0.481,0.867,347,298,118,1666,4.0
4231,0.41,0.654,335,105,64,628,5.0
4232,0.452,0.794,102,52,28,331,4.0
4233,0.516,0.723,276,127,47,724,2.0
4234,0.476,0.765,568,182,104,1061,2.0
4235,0.517,0.684,35,25,11,86,4.0
4236,0.458,0.776,48,15,14,142,5.0
4237,0.434,0.811,122,39,11,407,2.0
4238,0.421,0.7,103,126,69,358,3.0
4239,0.474,0.8,279,33,19,291,2.0
4240,0.52,0.778,383,311,138,1388,4.0
4241,0.495,0.852,173,128,42,1429,4.0
4242,0.557,0.74,919,308,124,2217,2.0
4243,0.514,0.802,520,207,108,1800,2.0
4244,0.559,0.761,97,105,51,521,5.0
4245,0.554,0.643,164,12,11,231,2.0
4246,0.461,0.719,221,297,86,982,4.0
4247,0.483,0.574,118,273,59,424,3.0
4248,0.444,0.659,53,72,21,341,3.0
4249,0.49,0.625,282,68,51,495,5.0
4250,0.459,0.735,205,192,53,565,5.0
4251,0.452,0.692,158,81,12,222,5.0
4252,0.5,0.793,489,163,72,1111,2.0
4253,0.469,0.841,358,73,16,762,2.0
4254,0.519,0.741,327,197,105,1034,5.0
4255,0.477,0.709,306,384,173,546,3.0
4256,0.48,0.71,275,118,38,313,1.0
4257,0.522,0.88,258,262,120,1736,4.0
4258,0.467,0.791,472,111,44,1199,2.0
4259,0.477,0.762,147,73,34,750,4.0
4260,0.459,0.811,248,76,23,584,5.0
4261,0.44,0.869,52,47,21,282,4.0
4262,0.504,0.794,454,106,144,1086,5.0
4263,0.513,0.781,805,76,27,1639,1.0
4264,0.519,0.81,232,166,68,1191,5.0
4265,0.498,0.78,284,603,174,1138,3.0
4266,0.458,0.875,83,11,8,272,5.0
4267,0.442,0.623,83,10,14,147,2.0
4268,0.551,0.818,668,223,54,1268,2.0
4269,0.429,0.75,64,15,12,69,2.0
4270,0.375,0.7,48,13,9,46,2.0
4271,0.5,1.0,16,2,3,23,2.0
4272,0.39,0.567,37,57,23,119,4.0
4273,0.546,0.808,143,117,45,764,5.0
4274,0.521,0.595,571,165,59,1137,5.0
4275,0.563,0.592,1122,152,60,1893,1.0
4276,0.509,0.722,708,126,85,565,2.0
4277,0.532,0.779,1068,291,150,2140,1.0
4278,1.0,0.0,2,7,1,8,3.0
4279,0.481,0.728,106,157,31,366,3.0
4280,0.51,0.639,264,144,35,612,2.0
4281,0.475,0.768,160,335,81,810,3.0
4282,0.457,0.667,50,33,14,158,5.0
4283,0.448,0.85,48,136,38,246,3.0
4284,0.472,1.0,24,18,5,84,5.0
4285,0.505,0.77,281,399,177,1110,3.0
4286,0.486,0.786,179,166,60,802,4.0
4287,0.559,0.604,287,74,22,341,1.0
4288,0.49,0.82,524,156,60,1036,2.0
4289,0.476,0.829,379,128,40,673,2.0
4290,0.522,0.795,145,28,20,363,2.0
4291,0.491,0.71,409,126,40,731,2.0
4292,0.462,0.649,433,343,67,1309,5.0
4293,0.529,0.87,190,247,94,1564,4.0
4294,0.468,0.6,17,10,10,93,4.0
4295,0.503,0.889,192,220,100,1403,4.0
4296,0.491,0.663,621,507,173,1510,5.0
4297,0.471,0.726,173,40,14,281,2.0
4298,0.491,0.465,418,29,31,486,1.0
4299,0.472,0.843,316,419,101,1476,3.0
4300,0.468,0.778,31,30,11,79,4.0
4301,0.398,0.794,103,154,56,262,3.0
4302,0.512,0.948,201,602,89,1365,3.0
4303,0.528,0.662,227,53,43,177,2.0
4304,0.525,0.667,221,52,40,168,2.0
4305,0.542,0.615,55,11,4,97,2.0
4306,0.542,0.615,55,10,4,97,2.0
4307,0.378,0.692,55,5,5,71,1.0
4308,0.48,0.764,456,80,47,780,2.0
4309,0.433,0.741,70,24,11,127,2.0
4310,0.489,0.77,386,56,36,653,2.0
4311,0.463,0.82,424,180,92,1554,5.0
4312,0.496,0.742,267,573,94,769,3.0
4313,0.495,0.845,154,221,53,987,4.0
4314,0.477,0.821,192,405,123,604,3.0
4315,0.536,0.799,237,118,57,599,1.0
4316,0.496,0.656,269,263,155,618,4.0
4317,0.519,0.629,137,156,90,339,4.0
4318,0.467,0.69,132,107,65,279,4.0
4319,0.487,0.69,542,182,98,1570,2.0
4320,0.506,0.732,956,301,127,1916,1.0
4321,0.4,0.6,3,3,1,15,4.0
4322,0.43,0.574,159,323,96,672,3.0
4323,0.472,0.534,1132,102,48,468,2.0
4324,0.282,0.75,60,10,6,31,1.0
4325,0.494,0.602,536,95,38,970,1.0
4326,0.5,0.815,295,80,36,706,5.0
4327,0.24,0.786,9,17,1,26,3.0
4328,0.5,0.756,170,75,39,454,5.0
4329,0.404,0.818,249,78,36,322,1.0
4330,0.493,0.804,780,493,79,1567,2.0
4331,0.481,0.848,134,157,55,792,4.0
4332,0.446,0.786,186,136,57,858,5.0
4333,0.448,0.689,112,47,36,330,5.0
4334,0.484,0.735,846,100,38,1232,1.0
4335,0.38,0.949,83,46,6,135,2.0
4336,0.494,0.633,205,26,13,191,1.0
4337,0.415,0.782,257,235,48,498,3.0
4338,0.447,0.819,495,312,95,1235,5.0
4339,0.512,0.892,290,735,86,1201,3.0
4340,0.47,0.782,432,142,48,1003,5.0
4341,0.447,0.792,96,196,48,347,4.0
4342,0.437,0.757,328,104,48,634,2.0
4343,0.554,0.878,160,446,80,1065,3.0
4344,0.463,0.858,106,186,58,639,4.0
4345,0.385,0.214,21,1,4,23,1.0
4346,0.464,0.787,197,267,50,766,4.0
4347,0.496,0.756,87,63,50,330,4.0
4348,0.453,0.759,81,24,17,187,5.0
4349,0.462,0.759,80,24,15,187,5.0
4350,0.488,0.746,271,295,126,1182,4.0
4351,0.469,0.795,204,404,91,1397,4.0
4352,0.544,0.727,383,146,47,796,5.0
4353,0.453,0.832,124,49,24,347,4.0
4354,0.513,0.798,237,987,199,1239,3.0
4355,0.499,0.717,337,559,131,1069,4.0
4356,0.452,0.8,115,14,11,156,2.0
4357,0.375,0.8,14,13,8,50,4.0
4358,0.439,0.737,232,671,123,1391,3.0
4359,0.491,0.744,178,34,29,237,1.0
4360,0.56,0.598,589,181,43,923,2.0
4361,0.521,0.823,273,564,142,1235,3.0
4362,0.51,0.758,500,108,52,1263,2.0
4363,0.509,0.726,412,91,33,583,2.0
4364,0.555,0.818,71,82,24,356,4.0
4365,0.526,0.8,252,107,19,528,2.0
4366,0.482,0.879,48,25,13,254,5.0
4367,0.51,0.748,492,54,55,743,2.0
4368,0.432,0.667,8,6,2,45,5.0
4369,0.167,0.333,19,9,10,8,4.0
4370,0.47,0.713,589,147,85,1280,5.0
4371,0.542,0.619,10,2,1,39,2.0
4372,0.466,0.851,193,481,104,1000,3.0
4373,0.31,0.548,52,7,6,53,1.0
4374,0.525,0.841,247,235,85,1543,4.0
4375,0.452,0.75,370,49,63,618,2.0
4376,0.42,0.654,91,181,65,263,3.0
4377,0.367,0.625,35,81,26,72,3.0
4378,0.443,0.667,56,100,39,191,3.0
4379,0.49,0.828,482,227,70,2121,5.0
4380,0.579,0.615,40,2,7,158,2.0
4381,0.467,0.84,214,183,78,890,5.0
4382,0.512,0.645,690,75,81,678,2.0
4383,0.366,0.818,31,23,4,81,3.0
4384,0.455,0.543,316,142,83,492,5.0
4385,0.538,0.706,228,38,21,348,5.0
4386,0.478,0.907,273,661,165,1151,3.0
4387,0.48,0.804,428,295,126,1341,5.0
4388,0.476,0.714,451,68,55,422,2.0
4389,0.47,0.742,265,178,66,1001,5.0
4390,0.512,0.653,1028,165,68,1435,2.0
4391,0.475,0.773,49,13,10,143,4.0
4392,0.542,0.738,174,183,66,440,5.0
4393,0.465,0.813,48,5,7,53,1.0
4394,0.476,0.857,45,5,7,52,1.0
4395,0.49,0.836,97,34,13,155,2.0
4396,0.385,0.731,14,40,14,68,3.0
4397,0.49,0.678,185,115,27,698,5.0
4398,0.487,0.673,176,112,26,655,5.0
4399,0.466,0.81,247,278,92,1221,5.0
4400,0.475,0.875,47,119,31,188,3.0
4401,0.476,0.956,168,362,82,1437,3.0
4402,0.454,0.83,183,480,96,849,3.0
4403,0.494,0.694,116,104,21,413,5.0
4404,0.491,0.83,131,180,57,606,4.0
4405,0.54,0.527,308,66,28,602,1.0
4406,0.333,0.357,17,2,0,21,2.0
4407,0.545,0.571,571,51,55,491,2.0
4408,0.429,0.818,322,784,158,1538,3.0
4409,0.545,0.672,476,294,134,1277,4.0
4410,0.467,0.826,53,17,8,96,5.0
4411,0.355,0.833,26,6,5,44,5.0
4412,0.586,0.818,27,11,3,52,5.0
4413,0.484,0.848,242,347,71,955,4.0
4414,0.431,0.774,189,365,114,628,3.0
4415,0.481,0.855,170,323,80,1212,3.0
4416,0.498,0.829,184,194,73,727,4.0
4417,0.478,0.9,82,13,11,85,5.0
4418,0.513,0.764,394,187,149,1212,4.0
4419,0.446,0.609,69,17,5,72,1.0
4420,0.512,0.799,215,54,20,583,2.0
4421,0.502,0.569,621,163,60,1105,1.0
4422,0.541,0.704,727,296,101,1402,2.0
4423,0.529,0.8,196,424,107,1075,3.0
4424,0.472,0.795,146,168,102,445,4.0
4425,0.492,0.753,39,83,22,338,4.0
4426,0.415,0.733,90,163,39,248,3.0
4427,0.421,0.773,260,23,23,358,5.0
4428,0.46,0.906,93,76,25,400,4.0
4429,0.447,0.73,424,789,212,1118,3.0
4430,0.476,0.806,313,780,133,835,3.0
4431,0.431,0.775,61,31,16,176,4.0
4432,0.509,0.837,120,102,32,320,4.0
4433,0.44,0.867,131,47,4,223,1.0
4434,0.412,0.607,306,98,45,504,1.0
4435,0.432,0.858,159,277,84,606,3.0
4436,0.32,0.214,56,8,6,19,1.0
4437,0.496,0.768,404,222,80,935,1.0
4438,0.493,0.775,279,165,52,653,1.0
4439,0.502,0.746,125,57,28,282,1.0
4440,0.421,0.9,21,3,0,85,5.0
4441,0.522,0.871,102,149,51,381,3.0
4442,0.497,0.831,300,347,156,1192,4.0
4443,0.43,0.653,447,72,51,299,1.0
4444,0.419,0.757,493,93,71,450,1.0
4445,0.445,0.609,112,133,63,273,3.0
4446,0.483,0.692,315,37,32,442,1.0
4447,0.545,0.5,32,16,8,106,5.0
4448,0.389,0.769,84,64,14,226,2.0
4449,0.421,0.657,132,62,37,244,5.0
4450,0.451,0.759,136,39,18,371,5.0
4451,0.501,0.578,225,77,54,518,4.0
4452,0.546,0.486,444,45,77,378,1.0
4453,0.463,0.689,519,86,64,934,2.0
4454,0.455,0.783,186,82,50,555,5.0
4455,0.496,0.811,60,31,20,157,5.0
4456,0.44,0.771,126,51,30,398,5.0
4457,0.491,0.724,51,15,9,198,2.0
4458,0.453,0.841,134,192,59,440,3.0
4459,0.541,0.724,344,91,59,1010,5.0
4460,0.448,0.786,326,79,40,893,2.0
4461,0.524,0.816,146,185,59,1094,4.0
4462,0.484,0.77,190,126,63,779,4.0
4463,0.462,0.631,371,86,53,450,2.0
4464,0.465,0.596,271,71,43,335,2.0
4465,0.453,0.769,100,15,10,115,2.0
4466,0.463,0.697,235,136,89,672,4.0
4467,0.462,0.774,870,262,68,1559,2.0
4468,0.507,0.779,159,263,75,588,3.0
4469,0.583,0.811,139,34,9,233,1.0
4470,0.611,0.816,89,28,5,163,1.0
4471,0.527,0.8,50,6,4,70,1.0
4472,0.4,0.5,24,31,14,31,3.0
4473,0.491,0.4,56,4,3,62,2.0
4474,0.5,0.4,56,4,3,62,2.0
4475,0.5,0.733,9,28,3,48,3.0
4476,0.469,0.813,389,122,99,659,5.0
4477,0.518,0.684,44,86,22,117,3.0
4478,0.448,0.681,56,15,10,168,2.0
4479,0.373,0.6,29,6,7,65,2.0
4480,0.453,0.861,31,77,15,132,3.0
4481,0.43,0.589,297,50,31,429,2.0
4482,0.48,0.873,262,221,98,1335,4.0
4483,0.25,0.75,1,1,1,9,4.0
4484,0.389,0.719,111,94,29,370,4.0
4485,0.509,0.642,505,55,45,626,2.0
4486,0.317,0.735,55,22,16,131,5.0
4487,0.53,0.527,718,100,48,771,2.0
4488,0.496,0.825,67,165,40,614,4.0
4489,0.44,0.84,123,263,63,475,3.0
4490,0.456,0.698,310,138,103,966,4.0
4491,0.372,0.753,68,78,28,342,3.0
4492,0.497,0.824,161,320,64,773,4.0
4493,0.544,0.649,446,50,49,639,1.0
4494,0.524,0.686,851,307,92,1123,1.0
4495,0.477,0.641,193,683,89,1040,3.0
4496,0.495,0.711,170,31,16,132,1.0
4497,0.454,0.777,445,333,98,1303,4.0
4498,0.477,0.836,151,261,63,1410,4.0
4499,0.407,0.675,247,12,24,410,1.0
4500,0.154,0.4,14,4,3,6,2.0
4501,0.496,0.799,329,171,83,953,5.0
4502,0.354,0.563,18,8,2,43,2.0
4503,0.469,0.77,281,232,120,1144,4.0
4504,0.491,0.727,279,273,136,821,4.0
4505,0.508,0.86,181,208,50,626,5.0
4506,0.474,0.803,263,197,54,885,5.0
4507,0.546,0.776,255,80,66,1170,5.0
4508,0.552,0.711,153,31,73,424,5.0
4509,0.506,0.674,682,167,63,1215,2.0
4510,0.474,0.722,242,70,25,344,1.0
4511,0.429,0.476,45,38,8,130,4.0
4512,0.498,0.765,885,179,90,1939,1.0
4513,0.495,0.783,129,65,44,513,5.0
4514,0.477,0.884,141,74,28,350,2.0
4515,0.468,0.736,123,173,40,358,3.0
4516,0.358,0.667,70,101,12,200,3.0
4517,0.5,0.5,0,1,2,16,3.0
4518,0.489,0.757,355,217,81,887,5.0
4519,0.424,0.711,220,57,35,188,2.0
4520,0.467,0.867,13,30,2,33,4.0
4521,0.489,0.817,159,149,57,864,5.0
4522,0.589,0.62,397,41,40,671,1.0
4523,0.444,1.0,7,5,2,22,4.0
4524,0.579,0.779,303,32,36,521,1.0
4525,0.461,0.782,268,275,151,1111,4.0
4526,0.511,0.759,500,69,38,970,2.0
4527,0.429,0.836,86,66,61,338,4.0
4528,0.409,0.765,12,13,4,58,4.0
4529,0.471,0.855,142,291,119,588,3.0
4530,0.462,0.641,351,107,70,798,5.0
4531,0.528,0.596,769,236,74,1057,2.0
4532,0.494,0.759,89,24,18,157,2.0
4533,0.538,0.602,191,62,33,455,4.0
4534,0.513,0.735,753,137,70,1204,2.0
4535,0.396,0.757,12,9,6,73,3.0
4536,0.373,0.722,34,16,18,149,4.0
4537,0.376,0.722,34,16,18,149,4.0
4538,0.495,0.685,728,276,172,1333,2.0
4539,0.507,0.742,439,544,190,1313,3.0
4540,0.425,0.687,141,334,125,791,3.0
4541,0.392,0.56,55,98,45,325,3.0
4542,0.451,0.743,86,236,80,466,3.0
4543,0.453,0.715,460,344,144,1508,4.0
4544,0.44,0.731,157,106,49,418,4.0
4545,0.273,0.92,10,8,4,44,4.0
4546,0.508,0.862,377,216,135,1180,4.0
4547,0.333,0.5,2,4,0,4,4.0
4548,0.434,0.738,82,36,25,195,5.0
4549,0.545,0.668,499,46,53,603,2.0
4550,0.505,0.878,279,419,127,1274,4.0
